text,is_hate
ponnayo danne kellek aduwa gaman laga inna kollekta allan gahanna witharai,True
ape harak samjeta eka honda adrshyak,False
tpita pisuda yako man htuwe atta kiyala aiyo,False
kimbak eduwoth ape untath amma thaththawath penne ne,True
lisan nathawa yanna puluwan yako api dannawa oka veede nattiyak kiyala,False
samanya minasata danena de me kalakanni desapalakayanta penne nathi eka thama karume,True
muladi hinawey digatama karoth devole karala hoda idea ekak,False
hadannanam puluvan eth oka reddak adan dagena yanne kohomai ape handuruvane,False
police yen navatthana ekkak na,False
mathakane kalayak ape un fite fan ellan gihin rexona market kala,False
pahadili madi visthara karapu hati,False
me mokkakda bn eka dapuwahama mahasona wagene,False
ela ela thawa thawath mede wadidinu karanna,False
game gahapan aiya api gannaw,False
lankawen desapalakayo tikak yawala balamu poster gahana widihata thama ita passe,False
oshadhi adui hama gahapu issek wage,True
oka light bala bala cheeneta naya gewamu,False
mewa thiyana widiyata keedawasak thiyaganna puluwan weida ape moda noogathun ekka,False
owa ta army eken dala arawage pissu natana unge kana paluwa nam nikan ma hadeyi,True
badulla jaffna kandy yana train me wage api dawasawala hondai dan kohomada,False
gothrika ratakata me wage dewal dunnata reka ganne ne kiyala sure,False
ape rilawu tika okatath wade deyi,False
balamu mekawath hariyata thiya ganida kiyala badulle train eke toilat eken eleyata patta chu gadai,False
meke comment dakkahama terena akama de tamat desapaluwanta kade yana wahallu bara gaaanak ennawa kiyana ekai,False
mun naluwo da nattam rastiyadu kara chandi da oka award k ganna welawak nathuwa picatin karana welawak newei,False
manussakamai deshapalanayai wenas puthiii a deka aduraganna beri munta kawda yako sammana dennee,False
deshapalanaya wenai sabawaka kuhaka kam kirieema anumatha karanna ba kalawa kiyanne sundarathwaya misak kuhaka kama neme,False
mahindata giyasereth kelawune mahindage golayo nisaa thamayy,False
aiyooo mahinda attatama lajjai oba tumawa nati kala golayo tika,False
munta pissu mun me nati nasthi karanne ape salli monatada api munta meva karanna bale denneeeee,False
me serama hadanne me ratata adareta newei balayata mudalata pagawal ganna rate keli wikunanna rata winasa karanna ratak nethi karanna hadanne,False
ammapa shik oka karannna ekek nane me rate uwa diwiyaloke gihin niwanuth daki appa e karana kusalayata samana karanna kusalayak thawa nathiwai me loke,False
sha niyama wadak kalanm hari ape kattiyatath,False
and kohoma hari karanawanam onna niyama wadak,False
heart attack hadila mareii,False
sira kathawa ban eka nam,False
ara miniha oxygen nethuwa merenne,False
policiye un hithan inne ltte karayek ahu una kiyala,False
podikale hora polis den trend ekata ewilla wage,False
simawata giya eka hatharak reka genimata noheki unaa,False
ara police lokkath rugby gahapu ekek mama hithanne,False
patta try eka si kenekds koheda kohoma hari tackle kara,False
suddage athe ruger ball ekak thibbanam maru,False
munta puluwanne bila yana ahinsaka minihak alla ganda tama,False
galu policeyama awwilla yako,False
ithin hodaine karapu de kage unath prathipaththi weradinam me tika thama wenna one,False
meeta pasu lankawe chandayak awashshma natha mewage vihilu mona ratakawath nathuwa athi,False
lokaya dunu wena kale meyala apassata yanna hadanne seegiri situwam ugayata nawata yannna epa pls,False
munta eka miniyek madi ekai,True
europe wala inna suddiyo best munta wada,False
wadagath deyak dala ratata wadak athi deyak karala salli hoyanawa,False
monawada oii mewa thamuselath views ganna ona jarawak danawa,True
